Team Fortress 2,797377,"10 Oct, 2007","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting"
Going Medieval,5176,"1 Jun, 2021","Early Access, Strategy, Simulation, City Builder, Medieval, Colony Sim, Building, Survival, RPG, Crafting, Management, Base Building, Sandbox, RTS, Stylized, 3D, Open World, Procedural Generation, Resource Management, Singleplayer"
Terraria,617493,"16 May, 2011","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Building, Pixel Graphics, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric"
Satisfactory,56080,"8 Jun, 2020","Base Building, Open World, Automation, Crafting, Multiplayer, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Simulation, Early Access, Strategy, Open World Survival Craft, Indie, Survival, First-Person, Singleplayer, Sci-fi"
Space Engineers,77157,"28 Feb, 2019","Space, Sandbox, Building, Multiplayer, Open World Survival Craft, Simulation, Survival, Open World, Physics, Crafting, Destruction, Co-op, Indie, Futuristic, Sci-fi, Singleplayer, Action, Strategy, Adventure, Early Access"
Baldur's Gate 3,38029,"6 Oct, 2020","Early Access, RPG, Dungeons & Dragons, Choices Matter, Turn-Based, Story Rich, Character Customization, Party-Based RPG, CRPG, Co-op Campaign, Fantasy, Class-Based, Romance, Dark Fantasy, PvE, Narration, Stealth, Crafting, Combat, Dragons"
ARK: Genesis Season Pass,4203,"8 Aug, 2019","Adventure, Massively Multiplayer, Action, Survival, RPG, Open World, Indie, Dinosaurs, Multiplayer, Violent, Base Building, Crafting, Singleplayer, Sandbox, Building, Sci-fi, Open World Survival Craft, Dragons, Co-op, First-Person"
Grounded,16776,"28 Jul, 2020","Survival, Multiplayer, Base Building, Crafting, Adventure, Co-op, Open World Survival Craft, Action, Open World, Horror, Exploration, Online Co-Op, Early Access, First-Person, Singleplayer, Sandbox, RPG, Third Person, Funny, Cute"
Factorio,97359,"14 Aug, 2020","Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Co-op, Building, Casual, 2D, Moddable, Singleplayer, Pixel Graphics, Simulation, City Builder, Trains"
Don't Starve Together,178602,"21 Apr, 2016","Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Funny, Atmospheric, Survival Horror, Strategy, Singleplayer, Horror, Action, Simulation"
Medieval Dynasty,14845,"17 Sep, 2020","Survival, Building, Open World, Medieval, RPG, Singleplayer, Simulation, Crafting, Early Access, City Builder, Adventure, Sandbox, Colony Sim, Realistic, Action, Resource Management, Historical, Exploration, Atmospheric, First-Person"
Conan Exiles,48844,"8 May, 2018","Survival, Open World, Building, Nudity, Crafting, Open World Survival Craft, Multiplayer, RPG, Sandbox, Massively Multiplayer, Action, Adventure, Online Co-Op, Exploration, Violent, Co-op, Singleplayer, Fantasy, PvP, Gore"
Project Zomboid,32851,"8 Nov, 2013","Survival, Zombies, Open World, Open World Survival Craft, Sandbox, Multiplayer, Post-apocalyptic, Indie, Crafting, Simulation, Co-op, RPG, Building, Survival Horror, Early Access, Isometric, Realistic, Singleplayer, 2D, Adventure"
Subnautica,156838,"23 Jan, 2018","Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Base Building, Horror, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Survival Horror, Action, Early Access, Indie, Multiplayer"
Subnautica: Below Zero,47616,"13 May, 2021","Open World Survival Craft, Survival, Underwater, Open World, Singleplayer, Exploration, Adventure, Base Building, Horror, Crafting, First-Person, Aliens, Early Access, Survival Horror, Sci-fi, Story Rich, Atmospheric, Great Soundtrack, Sandbox, Multiplayer"
HighFleet,436,"27 Jul, 2021","Strategy, Action Roguelike, Sci-fi, Action-Adventure, Post-apocalyptic, Tactical, Inventory Management, Exploration, Diplomacy, 2D, Choices Matter, Strategy RPG, Nonlinear, Action, Singleplayer, Stylized, Military, Building, War, Crafting"
Foxhole,14680,"27 Jul, 2017","Early Access, Massively Multiplayer, Base Building, Wargame, World War II, Sandbox, Open World, Military, PvP, War, Tactical, Top-Down, Team-Based, Crafting, Multiplayer, Top-Down Shooter, Strategy, Co-op, Shooter, Action"
No Man's Sky,158977,"12 Aug, 2016","Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, Adventure, First-Person, Sandbox, Singleplayer, Atmospheric, Crafting, Multiplayer, Space Sim, Indie, Action, Simulation, FPS, Great Soundtrack"
Albion Online,37199,"16 May, 2018","Free to Play, MMORPG, Open World, Massively Multiplayer, RPG, Sandbox, Crafting, Multiplayer, PvP, Survival, PvE, Medieval, Economy, Loot, Fantasy, Strategy, Co-op, Difficult, Action, Singleplayer"
SCUM,48148,"29 Aug, 2018","Survival, Open World Survival Craft, Multiplayer, Open World, Zombies, Massively Multiplayer, Action, Early Access, Adventure, Crafting, Realistic, Nudity, Violent, FPS, Singleplayer, PvP, Third Person, Indie, Gore, RPG"
Green Hell,27707,"5 Sep, 2019","Survival, Open World Survival Craft, Open World, Crafting, Simulation, Online Co-Op, Singleplayer, Base Building, Survival Horror, Sandbox, Realistic, Exploration, First-Person, Building, Adventure, Atmospheric, Action-Adventure, Resource Management, Immersive Sim, Indie"
Scrap Mechanic,66828,"19 Jan, 2016","Building, Sandbox, Survival, Open World, Crafting, Physics, Multiplayer, Base Building, Co-op, Singleplayer, First-Person, Third Person, Funny, Adventure, Simulation, Early Access, Action, Indie, Moddable, Online Co-Op"
ASTRONEER,67904,"5 Feb, 2019","Open World Survival Craft, Open World, Multiplayer, Space, Survival, Exploration, Base Building, Sandbox, Co-op, Adventure, Building, Crafting, Sci-fi, Simulation, Third Person, Colorful, Singleplayer, Automation, Atmospheric, Indie"
Eco,6346,"6 Feb, 2018","Open World Survival Craft, Survival, Multiplayer, Building, Open World, Crafting, Sandbox, Simulation, Co-op, Adventure, Economy, Indie, Base Building, Exploration, Online Co-Op, Early Access, Realistic, Education, Singleplayer, First-Person"
Shop Titans,9092,"5 May, 2020","Free to Play, Simulation, RPG, Adventure, Casual, Management, Base Building, Crafting, Multiplayer, Economy, Singleplayer, Medieval, Fantasy, Relaxing, Addictive, Cute, Family Friendly, Colorful, Fighting, Beautiful"
Dead Space™ 3,3706,"18 Jun, 2020","Action, Horror, Online Co-Op, Survival, Sci-fi, Shooter, Co-op, Third-Person Shooter, Dark, Singleplayer, Space, Thriller, Futuristic, Multiplayer, Survival Horror, Third Person, Gore, Crafting, Combat, Violent"
Sun Haven,775,"25 Jun, 2021","Early Access, Farming Sim, Pixel Graphics, Life Sim, RPG, Multiplayer, Agriculture, Relaxing, Character Customization, Simulation, Crafting, Singleplayer, Adventure, Dating Sim, Magic, Mining, Fishing, Fantasy, Combat, Exploration"
Crossout,44136,"26 Jul, 2017","Free to Play, Vehicular Combat, Action, Multiplayer, Racing, Crafting, Building, Automobile Sim, Post-apocalyptic, Shooter, Massively Multiplayer, PvP, Adventure, Destruction, Driving, Third Person, Survival, Atmospheric, MMORPG, PvE"
Ancestors: The Humankind Odyssey,3526,"27 Aug, 2020","Open World Survival Craft, Exploration, Open World, Survival, Adventure, Crafting, Singleplayer, Action, RPG, Simulation, Atmospheric, Third Person, Immersive Sim, Indie, Choices Matter, Action-Adventure, Nature, Historical, Science, PvE"
Car Mechanic Simulator 2018,35319,"28 Jul, 2017","Simulation, Automobile Sim, Driving, Building, Realistic, Racing, Singleplayer, Multiplayer, First-Person, Sandbox, Crafting, Education, Open World, Moddable, Physics, Management, Strategy, Great Soundtrack, Co-op, Memes"
Noita,30919,"15 Oct, 2020","Difficult, Physics, Roguelike, Dungeon Crawler, Indie, Action, Open World, Action Roguelike, RPG, Roguelite, Perma Death, Sandbox, 2D, 2D Platformer, Action-Adventure, Gun Customization, Dark Humor, Pixel Graphics, Mythology, Crafting"
Trove,82107,"9 Jul, 2015","Free to Play, Open World, Multiplayer, Adventure, MMORPG, Massively Multiplayer, Building, Sandbox, Pixel Graphics, RPG, Action, Crafting, Third Person, Co-op, Exploration, Dungeon Crawler, Voxel, Casual, Funny, FPS"
Kenshi,39920,"6 Dec, 2018","Open World, Sandbox, RPG, Survival, Strategy, Building, Post-apocalyptic, Crafting, Singleplayer, Base Building, City Builder, Indie, Simulation, Management, Adventure, RTS, Ninja, Alternate History, Steampunk, Early Access"
Graveyard Keeper,17783,"15 Aug, 2018","Pixel Graphics, Crafting, RPG, Simulation, Sandbox, Indie, Management, Medieval, Adventure, Singleplayer, Building, Dark Humor, Agriculture, 2D, Story Rich, Fantasy, Dark, Gore, Mystery, Violent"
Starbase,162,"29 Jul, 2021","Massively Multiplayer, Simulation, Open World, Building, Space Sim, Sandbox, Action, Sci-fi, FPS, Early Access, Space, Voxel, Crafting, Destruction, Programming, Robots, Multiplayer, Exploration, First-Person, Open World Survival Craft"
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,2822,"4 Dec, 2020","JRPG, RPG, Turn-Based Combat, Party-Based RPG, Story Rich, Dragons, Funny, 3D, Adventure, 2D, Fantasy, Colorful, Singleplayer, Action, Third Person, Crafting, Anime, Character Customization, Open World, Cartoony"
Deadside,17609,"14 Apr, 2020","Survival, Open World, Multiplayer, Massively Multiplayer, Action, Open World Survival Craft, Adventure, Crafting, Base Building, Post-apocalyptic, Shooter, Early Access, Indie, PvP, Realistic, Violent, FPS, Gore, Singleplayer, First-Person"
Dread Hunger,908,"22 Apr, 2021","Early Access, Multiplayer, Social Deduction, Online Co-Op, Survival, Co-op, Indie, PvP, Team-Based, Psychological, Funny, Strategy, Action, Difficult, Horror, Dark, Gore, Blood, First-Person, Atmospheric"
Cooking Simulator,9583,"6 Jun, 2019","Simulation, Cooking, Realistic, Singleplayer, Sandbox, Funny, Physics, First-Person, Family Friendly, Management, Relaxing, Crafting, Resource Management, Comedy, Economy, Replay Value, Action, Memes, Sexual Content, Co-op"
ARK: Scorched Earth - Expansion Pack,4052,"1 Sep, 2016","Survival, Adventure, Dinosaurs, Open World, Massively Multiplayer, Action, Dragons, Crafting, RPG, Multiplayer, Base Building, First-Person, Indie, Building, Action-Adventure, Singleplayer, Strategy, Sandbox, Survival Horror, FPS"
ARK: Aberration - Expansion Pack,2819,"12 Dec, 2017","Adventure, Survival, Action, Massively Multiplayer, Dinosaurs, Open World, Exploration, RPG, Indie, Building, Crafting, Multiplayer, Fantasy, Singleplayer, Free to Play, Base Building, Co-op, Sandbox, PvE, PvP"
Spiritfarer®,10026,"18 Aug, 2020","Emotional, Indie, Building, Story Rich, Management, Adventure, Hand-drawn, Platformer, Female Protagonist, Local Co-Op, Exploration, Atmospheric, Co-op, Crafting, Funny, Relaxing, Simulation, Cartoony, Farming Sim, Fishing"
Don't Starve,74475,,"Survival, Open World Survival Craft, Crafting, Adventure, Indie, Sandbox, Singleplayer, Perma Death, Open World, Exploration, Multiplayer, Roguelike, Replay Value, Moddable, Difficult, Simulation, 2D, Top-Down, Survival Horror, Horror"
ARK: Extinction - Expansion Pack,2203,"6 Nov, 2018","Adventure, Action, Massively Multiplayer, RPG, Survival, Indie, Dinosaurs, Open World, Singleplayer, Multiplayer, Crafting, Sandbox, Building, Co-op, Base Building, Sci-fi"
Starbound,74866,"22 Jul, 2016","Open World Survival Craft, Sandbox, Survival, Adventure, Space, Crafting, Online Co-Op, Relaxing, Pixel Graphics, Multiplayer, Open World, Exploration, Indie, Action, 2D, RPG, Co-op, Atmospheric, Building, Sci-fi"
Craftopia,11109,"4 Sep, 2020","Open World, Crafting, Survival, Multiplayer, Sandbox, RPG, Open World Survival Craft, Building, Action, Early Access, Adventure, Online Co-Op, Indie, Co-op, Anime, Hack and Slash, Automation, Character Customization, Singleplayer, Third Person"
The Escapists 2,15235,"21 Aug, 2017","Multiplayer, Strategy, Pixel Graphics, Online Co-Op, Co-op, 2D, Crafting, Simulation, Singleplayer, Indie, Local Co-Op, Sandbox, Stealth, Character Customization, Funny, Puzzle, Difficult, Action, Split Screen, Open World"
EVERSPACE™ 2,2652,"18 Jan, 2021","Early Access, Space, Flight, Space Sim, Looter Shooter, Open World, RPG, Exploration, Third Person, Shooter, First-Person, Action, Sci-fi, Action RPG, Fast-Paced, Loot, Singleplayer, 6DOF, Inventory Management, Crafting"
X4: Foundations,9503,"30 Nov, 2018","Space, Simulation, Sandbox, Action, Sci-fi, Space Sim, Open World, Economy, Exploration, Singleplayer, Strategy, Flight, Trading, Building, Management, Crafting, Immersive Sim, First-Person, Lore-Rich, Multiplayer"
Hobo: Tough Life,3475,"12 Apr, 2021","Survival, Open World, RPG, Base Building, Story Rich, First-Person, Multiplayer, Crafting, Sandbox, Realistic, Co-op, Simulation, 3D, Conversation, Online Co-Op, Adventure, Action, Atmospheric, Interactive Fiction, Heist"
This War of Mine,59882,"14 Nov, 2014","Survival, War, Atmospheric, Singleplayer, Strategy, Simulation, Choices Matter, Crafting, Base Building, Story Rich, Indie, Resource Management, Management, Emotional, Realistic, Post-apocalyptic, Drama, Psychological, Stealth, 2.5D"
Hokko Life,524,"2 Jun, 2021","Casual, Simulation, Indie, RPG, Adventure, Early Access, Life Sim, Farming Sim, Cute, Building, Relaxing, Character Customization, Singleplayer, 3D, Third Person, Crafting, Colorful, Family Friendly, Fishing, Farming"
Eternal Return,32159,"14 Oct, 2020","Free to Play, Anime, MOBA, Multiplayer, Survival, Strategy, Top-Down, PvP, Crafting, Combat, Tactical, Indie, Action, 3D, Character Customization, Experimental, Early Access, Point & Click, MMORPG, Horror"
Stormworks: Build and Rescue,17396,"17 Sep, 2020","Flight, Sandbox, Open World, Building, Programming, Exploration, Open World Survival Craft, Sailing, Immersive Sim, Base Building, PvP, Tutorial, Character Customization, Survival, First-Person, Naval, Automation, Trains, Physics, Crafting"
Space Haven,4277,"21 May, 2020","Base Building, Colony Sim, Simulation, Space, Strategy, Survival, Sandbox, Sci-fi, Management, City Builder, Indie, Resource Management, Building, Open World, Crafting, Space Sim, Early Access, Singleplayer, Exploration, Pixel Graphics"
Stranded Deep,28942,"23 Jan, 2015","Open World Survival Craft, Survival, Multiplayer, Open World, Crafting, First-Person, Adventure, Exploration, Realistic, Singleplayer, Building, Sandbox, Simulation, Early Access, Co-op, Underwater, Action, Atmospheric, Indie, Strategy"
Dream Engines: Nomad Cities - A survival city builder with flying cities,181,"14 Jul, 2021","Early Access, City Builder, Survival, Automation, RPG, Simulation, Strategy, Building, Steampunk, Post-apocalyptic, Singleplayer, Sandbox, Base Building, Management, Crafting, Resource Management, Economy, Difficult, Tower Defense, Sci-fi"
Far Cry® 4,33667,Nov 2014,"Open World, Action, FPS, Co-op, Adventure, Shooter, First-Person, Multiplayer, Singleplayer, Hunting, Stealth, Atmospheric, Survival, Online Co-Op, Story Rich, Exploration, Crafting, Sandbox, RPG, Action RPG"
My Time At Portia,25198,"15 Jan, 2019","RPG, Life Sim, Open World, Farming Sim, Simulation, Crafting, Casual, Adventure, Singleplayer, Agriculture, Building, Indie, Sandbox, Mining, Relaxing, Exploration, Survival, Cartoony, Post-apocalyptic, Female Protagonist"
Sakuna: Of Rice and Ruin,2534,"10 Nov, 2020","Action, Farming Sim, Story Rich, Side Scroller, Platformer, Mythology, Female Protagonist, Crafting, Agriculture, Simulation, Demons, Beat 'em up, Difficult, Combat, Third Person, Colorful, Cats, Dog, Singleplayer, Loot"
Atelier Ryza 2: Lost Legends & the Secret Fairy,1159,"25 Jan, 2021","JRPG, Female Protagonist, RPG, Anime, Fantasy, Adventure, Singleplayer, Sexual Content, Crafting, Open World, Cute, Mature, Simulation, Action, Story Rich, Nudity, Casual"
Rust - Sunburn Pack,750,"9 Jul, 2020","Action, Massively Multiplayer, Adventure, RPG, Indie, Survival, Crafting"
shapez.io,5455,"7 Jun, 2020","Strategy, Building, Automation, Base Building, Resource Management, Casual, Simulation, Indie, Sandbox, Management, 2D, Crafting, Puzzle, Singleplayer, Minimalist"
Automation - The Car Company Tycoon Game,5806,"12 Mar, 2015","Simulation, Management, Building, Sandbox, Strategy, Early Access, Automobile Sim, Realistic, Racing, Education, Crafting, Moddable, Automation, Science, Replay Value, Singleplayer, Multiplayer, Economy"
Forager,21070,"18 Apr, 2019","Open World Survival Craft, Survival, Crafting, Pixel Graphics, Indie, Farming Sim, Adventure, Sandbox, 2D, Multiplayer, Base Building, Singleplayer, Building, Resource Management, Open World, Exploration, RPG, Casual, Simulation, Agriculture"
DRAGON QUEST BUILDERS™ 2,3819,"10 Dec, 2019","RPG, Open World Survival Craft, Adventure, Action, Building, Sandbox, Crafting, Anime, JRPG, Cute, Co-op, Third Person, Colorful, Voxel, Multiplayer, Platformer, Open World, Survival, Singleplayer, Character Customization"
Empyrion - Galactic Survival,21793,"5 Aug, 2020","Open World Survival Craft, Survival, Space, Open World, Building, Multiplayer, Sandbox, Crafting, Exploration, Sci-fi, Adventure, Co-op, Singleplayer, Early Access, Simulation, First-Person, Strategy, Aliens, Indie, Action"
Portal Knights,14261,"18 May, 2017","Adventure, Sandbox, Multiplayer, RPG, Building, Crafting, Survival, Co-op, Action, Exploration, Singleplayer, Fantasy, Early Access, Voxel, Casual, Cute, Dungeon Crawler, Third Person, Great Soundtrack, Local Co-Op"
Volcanoids,2828,"29 Jan, 2019","Early Access, Open World Survival Craft, Base Building, Steampunk, Survival, Sci-fi, Management, Robots, Crafting, Underground, Mining, Building, Open World, Tutorial, Simulation, First-Person, Shooter, Action, Adventure, PvE"
The Long Dark,70133,"1 Aug, 2017","Open World Survival Craft, Survival, Open World, Exploration, Atmospheric, First-Person, Singleplayer, Adventure, Crafting, Sandbox, Simulation, Post-apocalyptic, Indie, Walking Simulator, Survival Horror, Strategy, Action, Difficult, Early Access, Horror"
Bloodstained: Ritual of the Night,20715,"18 Jun, 2019","Metroidvania, RPG, Action, Female Protagonist, Adventure, Anime, Side Scroller, 2.5D, Platformer, Great Soundtrack, Dark Fantasy, Gothic, Exploration, Singleplayer, Crafting, 2D, Nudity, Difficult, Sexual Content, Multiplayer"
ICARUS,,"12 Aug, 2021","Open World Survival Craft, Survival, Online Co-Op, Crafting, Exploration, Building, Base Building, Multiplayer, First-Person, PvE, Co-op, Realistic, Mining, Space, Open World, Third Person, Science, Nature, Adventure, Sandbox"
Far Cry® Primal,19785,"29 Feb, 2016","Open World, Survival, Action, Adventure, Hunting, First-Person, Singleplayer, Open World Survival Craft, Crafting, Exploration, FPS, Stealth, Atmospheric, Shooter, Mature, Sandbox, RPG, Co-op, Action RPG, Strategy"
Mr. Prepper,2342,"18 Mar, 2021","Survival, Simulation, Resource Management, Crafting, Singleplayer, Time Management, Life Sim, 2.5D, Base Building, Farming Sim, 1990's, Alternate History, Underground, Dystopian , America, Point & Click, Adventure, Political, Cold War, Action"
Breathedge,8956,"25 Feb, 2021","Open World Survival Craft, Space, Indie, Survival, Singleplayer, Sandbox, Base Building, Sci-fi, Atmospheric, First-Person, Adventure, Crafting, Open World, Exploration, Early Access, Action, Aliens, Simulation, Action-Adventure, Futuristic"
Unturned,443033,"7 Jul, 2017","Free to Play, Survival, Zombies, Open World Survival Craft, Multiplayer, Open World, Adventure, Crafting, Action, First-Person, Co-op, Sandbox, Shooter, Post-apocalyptic, FPS, Singleplayer, Massively Multiplayer, Indie, Casual, Atmospheric"
Railway Empire,5335,"26 Jan, 2018","Strategy, Simulation, Management, Trains, Economy, Building, Historical, Trading, America, Singleplayer, Real-Time, Western, Sandbox, City Builder, Transportation, Family Friendly, Replay Value, Crafting, Resource Management, Exploration"
TerraTech,11802,"10 Aug, 2018","Building, Sandbox, Open World, Open World Survival Craft, Multiplayer, Robots, Crafting, Action, Survival, Adventure, Singleplayer, Exploration, Strategy, Early Access, Indie, Physics, Third Person, Shooter, Co-op, Sci-fi"
Far Cry 3,67693,"28 Nov, 2012","Open World, FPS, Action, Adventure, Multiplayer, Shooter, Stealth, First-Person, Hunting, Co-op, Singleplayer, Sandbox, Survival, Story Rich, Online Co-Op, Atmospheric, Nudity, Crafting, Colorful, RPG"
This Land Is My Land,1793,"20 Nov, 2019","Open World Survival Craft, Survival, Open World, RPG, Simulation, Crafting, Multiplayer, Action, Western, Indie, Early Access, Third Person, Violent, Stealth, Sandbox, Historical, Singleplayer, America, First-Person, FPS"
Poly Bridge 2,3181,"28 May, 2020","Building, Puzzle, Simulation, Crafting, Physics, Difficult, Sandbox, Indie, Level Editor, Great Soundtrack, Singleplayer, Education, Strategy, Family Friendly, Funny, Cartoony, Cute, Choices Matter, Stylized, Sequel"
Hydroneer,6591,"8 May, 2020","Simulation, Mining, Building, Indie, Sandbox, Casual, Adventure, Base Building, Open World, Singleplayer, Resource Management, Strategy, Automation, Crafting, First-Person, Online Co-Op, Exploration, Funny, Management"
Siege Survival: Gloria Victis,591,"18 May, 2021","Immersive Sim, Resource Management, Survival, Strategy RPG, Time Management, Medieval, City Builder, Economy, Crafting, Choices Matter, Stealth, Management, Base Building, RPG, Strategy, Isometric, Historical, Moddable, Simulation, Singleplayer"
Liftoff: FPV Drone Racing,4133,"13 Sep, 2018","Simulation, Racing, Flight, Sports, Realistic, First-Person, Multiplayer, Immersive Sim, Indie, Early Access, Crafting, Level Editor, Singleplayer, Atmospheric, Exploration, Education, 3D, Modern, Parkour, Science"
Black Skylands,301,"9 Jul, 2021","Pixel Graphics, Simulation, Sandbox, Indie, Atmospheric, Open World, Base Building, RPG, Survival, Singleplayer, Character Customization, Top-Down Shooter, Procedural Generation, Steampunk, Crafting, Action, Sci-fi, Adventure, Early Access, Beautiful"
Imagine Earth,525,"25 May, 2021","Nature, 3D, Colony Sim, Singleplayer, City Builder, Sandbox, Space Sim, Grand Strategy, Base Building, Management, Lore-Rich, Economy, Strategy, Relaxing, Science, Top-Down, Crafting, Diplomacy, Building, Procedural Generation"
Dead Island Definitive Edition,9719,"31 May, 2016","Zombies, Survival, Co-op, Multiplayer, Open World, Action, Gore, Horror, First-Person, FPS, Online Co-Op, Crafting, Singleplayer, RPG, Survival Horror, Adventure, Violent, Nudity, Controller, Female Protagonist"
Cultist Simulator,4764,"31 May, 2018","Management, Horror, Roguelite, Difficult, Card Game, Story Rich, Tabletop, CRPG, Board Game, Strategy RPG, Roguelike, Atmospheric, RPG, Text-Based, 2D, Lovecraftian, Crafting, Psychological Horror, Dark Humor, Multiple Endings"
Fallout Shelter,44192,"29 Mar, 2017","Free to Play, Base Building, Survival, Post-apocalyptic, Singleplayer, Simulation, Strategy, Management, 2D, Building, Casual, Crafting, Adventure, Sandbox, RPG, Multiplayer, Funny, Atmospheric, Action, Great Soundtrack"
Terminator: Resistance,6439,"14 Nov, 2019","FPS, Post-apocalyptic, Choices Matter, RPG, Open World, First-Person, Sci-fi, Multiple Endings, Story Rich, Action, Robots, Atmospheric, Singleplayer, Crafting, Futuristic, Adventure, Violent, Shooter, Great Soundtrack, Cinematic"
Drug Dealer Simulator,8615,"16 Apr, 2020","Simulation, Action, Indie, Crime, Adventure, Singleplayer, Resource Management, Trading, First-Person, Crafting, Open World, Realistic, Management, Strategy, Funny, Sandbox, Inventory Management, Dark Comedy, Atmospheric, Multiplayer"
Osiris: New Dawn,10758,"28 Sep, 2016","Open World Survival Craft, Horror, Survival, Space, Open World, Multiplayer, Sci-fi, Building, Adventure, Crafting, Sandbox, Early Access, Base Building, Co-op, Action, Singleplayer, RPG, Aliens, Indie, FPS"
DYSMANTLE,2269,"6 Nov, 2020","Early Access, Survival, Open World, RPG, Adventure, Crafting, Action, Base Building, Exploration, Destruction, Zombies, Dystopian , Indie, Top-Down, Fishing, Hunting, Sandbox, Agriculture, Simulation, Loot"
Summer in Mara,795,"16 Jun, 2020","Visual Novel, Emotional, Farming Sim, Relaxing, Life Sim, Surreal, Exploration, Hand-drawn, Agriculture, Crafting, Colorful, Nature, Female Protagonist, Cute, Casual, Sandbox, Adventure, Fantasy, Anime, Dog"
Will To Live Online,9614,"5 Apr, 2018","Survival, Multiplayer, Open World, Post-apocalyptic, Free to Play, Open World Survival Craft, Massively Multiplayer, FPS, Action, MMORPG, Crafting, RPG, First-Person, Shooter, Early Access, Exploration, Violent, Indie, Atmospheric, Gore"
Force of Nature 2: Ghost Keeper,509,"27 May, 2021","RPG, Adventure, Action, Strategy, Indie, Survival, Crafting, Open World Survival Craft, Base Building, Building, Sandbox, Singleplayer, Management, Fantasy"
Vermillion,50,"26 Jul, 2021","Immersive Sim, VR, Casual, Simulation, Design & Illustration, Crafting, 3D, First-Person, Indie, Realistic, Singleplayer"
Tank Mechanic Simulator,4817,"20 Feb, 2020","Tanks, World War II, Simulation, Realistic, Singleplayer, Action, First-Person, Indie, Relaxing, Building, Walking Simulator, Management, Economy, Crafting, Casual, Exploration, Resource Management, Adventure, Atmospheric, Family Friendly"
